FID,the_geom,CATEGORY,NAME
power_towers.87,POINT (24.9412892 31.6553167),Government and Public Services,Power Tower
power_towers.88,POINT (24.9440725 31.6536213),Government and Public Services,Power Tower
power_towers.89,POINT (24.946881 31.6519366),Government and Public Services,Power Tower
power_towers.90,POINT (24.9496769 31.6502519),Government and Public Services,Power Tower
power_towers.91,POINT (24.9524791 31.6485564),Government and Public Services,Power Tower
power_towers.92,POINT (24.9552813 31.6468556),Government and Public Services,Power Tower
power_towers.93,POINT (24.9580772 31.6451707),Government and Public Services,Power Tower
power_towers.94,POINT (24.9608645 31.6434909),Government and Public Services,Power Tower
power_towers.95,POINT (24.9636856 31.6417846),Government and Public Services,Power Tower
power_towers.96,POINT (24.9664626 31.640105),Government and Public Services,Power Tower
power_towers.97,POINT (24.9692837 31.638404),Government and Public Services,Power Tower
power_towers.98,POINT (24.9720544 31.6367083),Government and Public Services,Power Tower
power_towers.99,POINT (24.9748629 31.6350233),Government and Public Services,Power Tower
power_towers.100,POINT (24.9776525 31.6333276),Government and Public Services,Power Tower
power_towers.101,POINT (24.9795185 31.6308614),Government and Public Services,Power Tower
power_towers.102,POINT (24.9813971 31.6283899),Government and Public Services,Power Tower
power_towers.103,POINT (24.9832443 31.6259611),Government and Public Services,Power Tower
power_towers.104,POINT (24.9851041 31.6234894),Government and Public Services,Power Tower
power_towers.105,POINT (24.9869764 31.6210284),Government and Public Services,Power Tower
power_towers.106,POINT (24.9888298 31.6185406),Government and Public Services,Power Tower
power_towers.107,POINT (24.9907084 31.6160901),Government and Public Services,Power Tower
power_towers.108,POINT (24.9925556 31.6136396),Government and Public Services,Power Tower
power_towers.109,POINT (24.9944028 31.611189),Government and Public Services,Power Tower
power_towers.110,POINT (24.9962939 31.608717),Government and Public Services,Power Tower
power_towers.111,POINT (24.9981411 31.6062448),Government and Public Services,Power Tower
power_towers.112,POINT (25.0000134 31.6038155),Government and Public Services,Power Tower
power_towers.113,POINT (25.0018669 31.6013272),Government and Public Services,Power Tower
power_towers.114,POINT (25.0037518 31.5988441),Government and Public Services,Power Tower
power_towers.115,POINT (25.0056052 31.5964039),Government and Public Services,Power Tower
power_towers.116,POINT (25.0074399 31.5939475),Government and Public Services,Power Tower
power_towers.117,POINT (25.0093185 31.591475),Government and Public Services,Power Tower
power_towers.118,POINT (25.0111719 31.5890238),Government and Public Services,Power Tower
power_towers.119,POINT (25.0130254 31.5865619),Government and Public Services,Power Tower
power_towers.120,POINT (25.0148914 31.5840945),Government and Public Services,Power Tower
power_towers.121,POINT (25.0167574 31.5816431),Government and Public Services,Power Tower
power_towers.122,POINT (25.0186109 31.5791864),Government and Public Services,Power Tower
power_towers.123,POINT (25.0204644 31.5767135),Government and Public Services,Power Tower
power_towers.124,POINT (25.0223183 31.5742526),Government and Public Services,Power Tower
power_towers.125,POINT (25.0256051 31.5734285),Government and Public Services,Power Tower
power_towers.126,POINT (25.0289262 31.5725826),Government and Public Services,Power Tower
power_towers.127,POINT (25.0322285 31.5717483),Government and Public Services,Power Tower
power_towers.128,POINT (25.0355701 31.5708791),Government and Public Services,Power Tower
power_towers.129,POINT (25.0388843 31.5700564),Government and Public Services,Power Tower
power_towers.130,POINT (25.0421917 31.5692046),Government and Public Services,Power Tower
power_towers.131,POINT (25.0455372 31.5683723),Government and Public Services,Power Tower
power_towers.132,POINT (25.0490272 31.5682808),Government and Public Services,Power Tower
power_towers.133,POINT (25.0524828 31.5682522),Government and Public Services,Power Tower
power_towers.134,POINT (25.0559786 31.5681549),Government and Public Services,Power Tower
power_towers.135,POINT (25.0594571 31.568092),Government and Public Services,Power Tower
power_towers.136,POINT (25.0629357 31.5680519),Government and Public Services,Power Tower
power_towers.137,POINT (25.0664314 31.5679604),Government and Public Services,Power Tower
power_towers.138,POINT (25.0699271 31.5679318),Government and Public Services,Power Tower
power_towers.139,POINT (25.0734228 31.5678345),Government and Public Services,Power Tower
power_towers.140,POINT (25.0757974 31.5683724),Government and Public Services,Power Tower
power_towers.141,POINT (25.0794881 31.5686279),Government and Public Services,Power Tower
power_towers.142,POINT (25.083199 31.5688863),Government and Public Services,Power Tower
power_towers.143,POINT (25.0868052 31.5691099),Government and Public Services,Power Tower
power_towers.144,POINT (25.090108 31.5678657),Government and Public Services,Power Tower
power_towers.145,POINT (25.0934175 31.566608),Government and Public Services,Power Tower
power_towers.146,POINT (25.0967359 31.5653717),Government and Public Services,Power Tower
power_towers.147,POINT (25.1000286 31.5641162),Government and Public Services,Power Tower
power_towers.148,POINT (25.10055 31.5611232),Government and Public Services,Power Tower
power_towers.149,POINT (25.1010732 31.5581392),Government and Public Services,Power Tower
power_towers.150,POINT (25.1015967 31.5551567),Government and Public Services,Power Tower
power_towers.151,POINT (25.1021119 31.5521798),Government and Public Services,Power Tower
power_towers.152,POINT (25.102637 31.5491905),Government and Public Services,Power Tower
power_towers.153,POINT (25.1031372 31.5461957),Government and Public Services,Power Tower
power_towers.154,POINT (25.1036623 31.5432062),Government and Public Services,Power Tower
power_towers.155,POINT (25.1041781 31.5402218),Government and Public Services,Power Tower
power_towers.156,POINT (25.1046979 31.5372287),Government and Public Services,Power Tower
power_towers.157,POINT (25.1052107 31.5342377),Government and Public Services,Power Tower
power_towers.158,POINT (25.1057467 31.5312428),Government and Public Services,Power Tower
